waktu,brand,tipe,sale
2019-012,FAW,Tractor Head (FD380TH) CNG,-
2019-01,HINO,SG 260 TH,104
2019-02,HINO,SG 260 TH,60
2019-03,HINO,SG 260 TH,82
2019-04,HINO,SG 260 TH,96
2019-05,HINO,SG 260 TH,48
2019-06,HINO,SG 260 TH,56
2019-07,HINO,SG 260 TH,115
2019-08,HINO,SG 260 TH,101
2019-09,HINO,SG 260 TH,74
2019-010,HINO,SG 260 TH,89
2019-011,HINO,SG 260 TH,113
2019-012,HINO,SG 260 TH,70
2019-01,HINO,SG 285 TH,2
2019-02,HINO,SG 285 TH,8
2019-03,HINO,SG 285 TH,11
2019-04,HINO,SG 285 TH,14
2019-05,HINO,SG 285 TH,6
2019-06,HINO,SG 285 TH,5
2019-07,HINO,SG 285 TH,9
2019-08,HINO,SG 285 TH,8
2019-09,HINO,SG 285 TH,16
2019-010,HINO,SG 285 TH,4
2019-011,HINO,SG 285 TH,4
2019-012,HINO,SG 285 TH,5
2019-01,HINO,FL 235 JN,3
2019-02,HINO,FL 235 JN,15
2019-03,HINO,FL 235 JN,21
2019-04,HINO,FL 235 JN,8
2019-05,HINO,FL 235 JN,9
2019-06,HINO,FL 235 JN,7
2019-07,HINO,FL 235 JN,10
2019-08,HINO,FL 235 JN,16
2019-09,HINO,FL 235 JN,6
2019-010,HINO,FL 235 JN,4
2019-011,HINO,FL 235 JN,1
2019-012,HINO,FL 235 JN,9
2019-01,HINO,FL 245 JN,4
2019-02,HINO,FL 245 JN,-
2019-03,HINO,FL 245 JN,2
2019-04,HINO,FL 245 JN,1
2019-05,HINO,FL 245 JN,1
2019-06,HINO,FL 245 JN,15
2019-07,HINO,FL 245 JN,-
2019-08,HINO,FL 245 JN,15
2019-09,HINO,FL 245 JN,29
2019-010,HINO,FL 245 JN,13
2019-011,HINO,FL 245 JN,-
2019-012,HINO,FL 245 JN,6
2019-01,HINO,FL 235 JW,290
2019-02,HINO,FL 235 JW,388
2019-03,HINO,FL 235 JW,837
2019-04,HINO,FL 235 JW,131
2019-05,HINO,FL 235 JW,121
2019-06,HINO,FL 235 JW,98
2019-07,HINO,FL 235 JW,120
2019-08,HINO,FL 235 JW,112
2019-09,HINO,FL 235 JW,198
2019-010,HINO,FL 235 JW,151
2019-011,HINO,FL 235 JW,182
2019-012,HINO,FL 235 JW,116
2019-01,HINO,FL 260 JT,14
2019-02,HINO,FL 260 JT,48
2019-03,HINO,FL 260 JT,16
2019-04,HINO,FL 260 JT,14
2019-05,HINO,FL 260 JT,22
2019-06,HINO,FL 260 JT,22
2019-07,HINO,FL 260 JT,15
2019-08,HINO,FL 260 JT,16
2019-09,HINO,FL 260 JT,22
2019-010,HINO,FL 260 JT,51
2019-011,HINO,FL 260 JT,12
2019-012,HINO,FL 260 JT,11
2019-01,HINO,FL 360 PN CNG,-
2019-02,HINO,FL 360 PN CNG,-
2019-03,HINO,FL 360 PN CNG,-
2019-04,HINO,FL 360 PN CNG,-
2019-05,HINO,FL 360 PN CNG,-
2019-06,HINO,FL 360 PN CNG,-
2019-07,HINO,FL 360 PN CNG,-
2019-08,HINO,FL 360 PN CNG,10
2019-09,HINO,FL 360 PN CNG,-
2019-010,HINO,FL 360 PN CNG,-
2019-011,HINO,FL 360 PN CNG,-
2019-012,HINO,FL 360 PN CNG,-
2019-01,HINO,FM 235 JD,-
2019-02,HINO,FM 235 JD,-
2019-03,HINO,FM 235 JD,-
2019-04,HINO,FM 235 JD,-
2019-05,HINO,FM 235 JD,-
2019-06,HINO,FM 235 JD,-
2019-07,HINO,FM 235 JD,-
2019-08,HINO,FM 235 JD,-
2019-09,HINO,FM 235 JD,-
2019-010,HINO,FM 235 JD,-
2019-011,HINO,FM 235 JD,-
2019-012,HINO,FM 235 JD,-
2019-01,HINO,FL 260 JW,106
2019-02,HINO,FL 260 JW,53
2019-03,HINO,FL 260 JW,21
2019-04,HINO,FL 260 JW,56
2019-05,HINO,FL 260 JW,29
2019-06,HINO,FL 260 JW,55
2019-07,HINO,FL 260 JW,84
2019-08,HINO,FL 260 JW,114
2019-09,HINO,FL 260 JW,60
2019-010,HINO,FL 260 JW,97
2019-011,HINO,FL 260 JW,114
2019-012,HINO,FL 260 JW,43
2019-01,HINO,FM 245 JD,-
2019-02,HINO,FM 245 JD,-
2019-03,HINO,FM 245 JD,-
2019-04,HINO,FM 245 JD,-
2019-05,HINO,FM 245 JD,-
2019-06,HINO,FM 245 JD,-
2019-07,HINO,FM 245 JD,-
2019-08,HINO,FM 245 JD,-
2019-09,HINO,FM 245 JD,-
2019-010,HINO,FM 245 JD,-
2019-011,HINO,FM 245 JD,-
2019-012,HINO,FM 245 JD,-
2019-01,HINO,FL 245 JW,-
2019-02,HINO,FL 245 JW,-
2019-03,HINO,FL 245 JW,-
2019-04,HINO,FL 245 JW,-
2019-05,HINO,FL 245 JW,-
2019-06,HINO,FL 245 JW,-
2019-07,HINO,FL 245 JW,-
2019-08,HINO,FL 245 JW,4
2019-09,HINO,FL 245 JW,2
2019-010,HINO,FL 245 JW,-
2019-011,HINO,FL 245 JW,6
2019-012,HINO,FL 245 JW,-
2019-01,HINO,FM 260 JW,48
2019-02,HINO,FM 260 JW,57
2019-03,HINO,FM 260 JW,72
2019-04,HINO,FM 260 JW,44
2019-05,HINO,FM 260 JW,41
2019-06,HINO,FM 260 JW,33
2019-07,HINO,FM 260 JW,118
2019-08,HINO,FM 260 JW,77
2019-09,HINO,FM 260 JW,84
2019-010,HINO,FM 260 JW,68
2019-011,HINO,FM 260 JW,83
2019-012,HINO,FM 260 JW,84
2019-01,HINO,FM 260 JD,426
2019-02,HINO,FM 260 JD,478
2019-03,HINO,FM 260 JD,363
2019-04,HINO,FM 260 JD,321
2019-05,HINO,FM 260 JD,218
2019-06,HINO,FM 260 JD,222
2019-07,HINO,FM 260 JD,401
2019-08,HINO,FM 260 JD,598
2019-09,HINO,FM 260 JD,560
2019-010,HINO,FM 260 JD,499
2019-011,HINO,FM 260 JD,314
2019-012,HINO,FM 260 JD,453
2019-01,HINO,FM 285 JW,-
2019-02,HINO,FM 285 JW,2
2019-03,HINO,FM 285 JW,-
