brand,retail,waktu,production
RENAULT,,2018-07-01,-
RENAULT,,2018-08-01,-
RENAULT,,2018-09-01,-
RENAULT,,2018-10-01,-
RENAULT,,2018-11-01,-
RENAULT,,2018-12-01,-
RENAULT (PC),20,2018-01-01,
RENAULT (PC),23,2018-02-01,
RENAULT (PC),56,2018-03-01,
RENAULT (PC),70,2018-04-01,
RENAULT (PC),49,2018-05-01,
RENAULT (PC),27,2018-06-01,
RENAULT (PC),40,2018-07-01,
RENAULT (PC),29,2018-08-01,
RENAULT (PC),23,2018-09-01,
RENAULT (PC),18,2018-10-01,
RENAULT (PC),12,2018-11-01,
RENAULT (PC),15,2018-12-01,
SCANIA,115,2018-01-01,-
SCANIA,83,2018-02-01,-
SCANIA,68,2018-03-01,-
SCANIA,53,2018-04-01,-
SCANIA,108,2018-05-01,-
SCANIA,108,2018-06-01,-
SCANIA,56,2018-07-01,-
SCANIA,27,2018-08-01,-
SCANIA,67,2018-09-01,-
SCANIA,53,2018-10-01,-
SCANIA,33,2018-11-01,-
SCANIA,23,2018-12-01,-
SUZUKI,10614,2018-01-01,10818
SUZUKI,8520,2018-02-01,10937
SUZUKI,10020,2018-03-01,12061
SUZUKI,9448,2018-04-01,9459
SUZUKI,11355,2018-05-01,11662
SUZUKI,7519,2018-06-01,8244
SUZUKI,10509,2018-07-01,13775
SUZUKI,10479,2018-08-01,10108
SUZUKI,9211,2018-09-01,10190
SUZUKI,9766,2018-10-01,10596
SUZUKI,9140,2018-11-01,8083
SUZUKI,10107,2018-12-01,8261
TATA,71,2018-01-01,
TATA,95,2018-02-01,
TATA,76,2018-03-01,
TATA,102,2018-04-01,
TATA,124,2018-05-01,
TATA,90,2018-06-01,
TATA,91,2018-07-01,
TATA,121,2018-08-01,
TATA,87,2018-09-01,
TATA,75,2018-10-01,
TATA,113,2018-11-01,
TATA,71,2018-12-01,
TOYOTA,28495,2018-01-01,40726
TOYOTA,27774,2018-02-01,39756
TOYOTA,30293,2018-03-01,44060
TOYOTA,30076,2018-04-01,47035
TOYOTA,32979,2018-05-01,43544
TOYOTA,22002,2018-06-01,30570
TOYOTA,31605,2018-07-01,51774
TOYOTA,30273,2018-08-01,48811
TOYOTA,28304,2018-09-01,44441
TOYOTA,28622,2018-10-01,53260
TOYOTA,30533,2018-11-01,47568
TOYOTA,35107,2018-12-01,40028
UD TRUCK,,2018-01-01,143
UD TRUCK,,2018-02-01,105
UD TRUCK,,2018-03-01,156
UD TRUCK,,2018-04-01,182
UD TRUCK,,2018-05-01,153
UD TRUCK,,2018-06-01,107
UD TRUCK,,2018-07-01,157
UD TRUCK,,2018-08-01,188
UD TRUCK,,2018-09-01,174
UD TRUCK,,2018-10-01,196
UD TRUCK,,2018-11-01,201
UD TRUCK,,2018-12-01,206
UD TRUCKS,309,2018-01-01,
UD TRUCKS,262,2018-02-01,
UD TRUCKS,275,2018-03-01,
UD TRUCKS,274,2018-04-01,
UD TRUCKS,254,2018-05-01,
UD TRUCKS,149,2018-06-01,
UD TRUCKS,251,2018-07-01,
UD TRUCKS,201,2018-08-01,
UD TRUCKS,295,2018-09-01,
UD TRUCKS,286,2018-10-01,
UD TRUCKS,244,2018-11-01,
UD TRUCKS,236,2018-12-01,
VOLKSWAGEN,22,2018-01-01,-
VOLKSWAGEN,25,2018-02-01,-
VOLKSWAGEN,96,2018-03-01,-
VOLKSWAGEN,32,2018-04-01,-
VOLKSWAGEN,69,2018-05-01,-
VOLKSWAGEN,26,2018-06-01,-
VOLKSWAGEN,41,2018-07-01,-
VOLKSWAGEN,69,2018-08-01,-
VOLKSWAGEN,45,2018-09-01,-
VOLKSWAGEN,35,2018-10-01,-
VOLKSWAGEN,40,2018-11-01,-
VOLKSWAGEN,11,2018-12-01,-
WULING,1000,2018-01-01,836
WULING,1085,2018-02-01,1341
WULING,1430,2018-03-01,1487
WULING,1403,2018-04-01,2110
WULING,1348,2018-05-01,1817
WULING,1265,2018-06-01,1126
WULING,1345,2018-07-01,1786
WULING,1621,2018-08-01,1270
WULING,1003,2018-09-01,1707
WULING,1189,2018-10-01,1409
WULING,1119,2018-11-01,885
WULING,1354,2018-12-01,372
